id,name,remarks,lat,lng,openinghrs
,田廈路公廁,,22.4463188954,113.9936300811,24小時
,流浮山公廁,,22.4673581986,113.9838403091,24小時
,水頭村公廁,,22.4438834935,114.0608469250,24小時
,橫台山永寧里公廁,,22.4410948843,114.0953155181,24小時
,吳家村公廁,,22.4354583863,114.0700006768,24小時
,錦上路公廁,,22.4341295363,114.0651619829,24小時
,天地人路公廁,,22.4294365712,113.9940339231,24小時
,鯉魚門公廁,,22.2926193511,114.2392339353,24小時
,虎地上村公廁,,22.4079551414,113.9840329676,24小時
,楊小坑公廁,,22.3959078062,113.9665566129,24小時
,青楊街公廁,,22.3986717156,113.9699800074,24小時
,建隆街公廁,,22.3970859874,113.9694514313,24小時
,洪祥路公廁,,22.3930475675,113.9692785326,24小時
,汽站廁所,,22.3902033837,113.9688882755,24小時
,湖山路網球場公廁,,22.3762683651,113.9681293737,24小時
,屯門公路轉車站公廁,,22.3587006210,114.0184490736,24小時
,屯門公路轉車站公廁,,22.3620807908,114.0164236887,24小時
,蝴蝶灣公園公廁,,22.3739885721,113.9588780577,24小時
,油站廁所,,22.3108052261,113.9389513256,24小時
,東涌新碼頭公廁,,22.2933418459,113.9398151163,24小時
,欣澳公廁,,22.3325826241,114.0288932253,24小時
,石門甲公廁,,22.2692220326,113.9310226523,24小時
,上嶺皮公廁,,22.2785139527,113.9364867456,24小時
,和宜合村公廁,,22.3824353797,114.1388901860,24小時
,城門郊野公園公廁,,22.3848379519,114.1435089984,24小時
